_Threshold,BMDseg[mg/cc],BV/TV[1],gDSM-BS/BV[1/mm],gDSM-Tb.N[1/mm],DT-Tb.Th[mm],DT-Tb.Sp[mm],MIL.Avg[mm],File,DT-Tb.Sp.SD,DT-Tb.Th.SD,DT-wTb.Sp.SD,DT-wTb.Sp[mm],DT-wTb.Th.SD,DT-wTb.Th[mm],gDSM-Tb.Sp[mm],gDSM-Tb.Th[mm],,,,,,,,,,,,,,,
124,206,422,0,236547,5,46703,0,646606,0,391712,0,952831,0,735989,BA24_120_4Slices.xml,0,434771,0,267558,0,459916,0,95913,0,925137,0,808167,1,18071,0,365829
124,210,189,0,25206,4,99219,0,629165,0,430335,1,2209,0,810036,BA25_120_1Slices.xml,0,483676,0,251364,0,511594,1,3397,0,79628,0,866516,1,18878,0,400626
124,210,876,0,251683,4,89493,0,615984,0,441248,1,654,0,828462,BA25_120_2Slices.xml,0,496479,0,247472,0,525027,1,7767,0,80052,0,890017,1,21483,0,408586
124,211,579,0,242451,5,12621,0,621427,0,427654,1,2302,0,786729,BA25_120_3Slices.xml,0,480893,0,26945,0,505013,1,3199,0,899177,0,886606,1,21905,0,390152
124,210,325,0,236497,5,63208,0,665985,0,380573,0,908595,0,71529,BA26_120_3Slices.xml,0,420593,0,255221,0,438039,0,913935,0,912483,0,79598,1,14643,0,355109
124,197,421,0,231298,5,88084,0,680112,0,355298,0,894422,0,683928,BA27_120_1Slices.xml,0,433083,0,243214,0,471297,0,899122,0,830759,0,697152,1,13026,0,340087
124,192,7,0,252903,5,9327,0,750198,0,326198,0,801094,0,677389,BA27_120_2Slices.xml,0,382568,0,201214,0,420029,0,808387,0,548409,0,583809,0,995867,0,337115
124,200,723,0,254993,5,70272,0,727077,0,348029,0,829256,0,704766,BA27_120_3Slices.xml,0,393573,0,2144,0,421376,0,838016,0,630567,0,660434,1,2466,0,35071
124,214,208,0,248877,4,76619,0,593097,0,456277,1,11039,0,849606,BA28_120_1Slices.xml,0,50022,0,255065,0,525338,1,12202,0,817486,0,932507,1,26644,0,419622
124,214,105,0,244232,4,66561,0,569745,0,474872,1,18124,0,873043,BA34_120_2Slices.xml,0,55929,0,26704,0,583485,1,19174,0,894939,0,978752,1,3265,0,428669
124,202,122,0,265929,5,7473,0,67476,0,406469,0,938881,0,798681,BA33_120_3Slices.xml,0,40969,0,229596,0,443177,0,952555,0,661247,0,772051,1,879,0,394109
